CN5_TX,P20
CN5_RX,P21
CN6_TX,P13
CN6_RX,P12
CN7_TX,PC3
CN7_RX,PC2
CN8_TX,P32
CN8_RX,P33
CN9_SSL,PE4
CN9_MOSI,PE6
CN9_MISO,PE7
CN9_SCK,PE5
CN9_RX,P30
CN9_TX,P26
CN9_SCL,PE2
CN9_SDA,PE1
CN10_DAC,P05
CN10_AN1,P41
CN10_AN2,P42
CN10_AN3,P43
CN10_AN4,P44
CN10_AN0,P40
ACC_SCL,P52
ACC_SDA,P50
ACC_INT,P07
WIFI_EN,P24
WIFI_SCK,PC5
WIFI_MISO,PC7
WIFI_MOSI,PC6
WIFI_SSL,PC4
WIFI_IO0,P15
WIFI_RX,P25
WIFI_TX,P23
ETH_MDC,PA4
ETH_MDIO,PA3
ETH_TXEN,PB4
ETH_TXD0,PB5
ETH_TXD1,PB6
ETH_RXD0,PB1
ETH_RXD1,PB0
ETH_RXER,PB3
ETH_CRS,PB7
ETH_CLK,PB2
LED1,PA0
LED2,PA1
