SER1_TX,P20
SER1_RX,P21
SER1_SEL,P22
SER2_TX,P13
SER2_RX,P12
SER2_SEL,P14
SER3_TX,PC3
SER3_RX,PC2
SER3_SEL,PC4
SER4_TX,P32
SER4_RX,P33
SER4_SEL,P34
SPI_SS,PE4
SPI_MO,PE6
SPI_MI,PE7
SPI_CK,PE5
SER5_RX,P30
SER5_TX,P26
WIRE_CL,P52
WIRE_DA,P50
DAC,P05
A0,PD2
A1,PD3
A2,PD4
A3,PD5
A4,PD6
A5,PD7
ACC_SCL,P52
ACC_SDA,P50
ACC_INT,P07
ESP_RES,P17
ESP_IO0,P27
ESP_IO15,P31
ESP_EN,P24
SER6_RX,P25
SER6_TX,P23
SER7_TX,PC7
SER7_RX,PC6
SER7_DIR,PC5
ETH_MDC,PA4
ETH_MDIO,PA3
ETH_TXEN,PB4
ETH_TXD0,PB5
ETH_TXD1,PB6
ETH_RXD0,PB1
ETH_RXD1,PB0
ETH_RXER,PB3
ETH_CRS,PB7
ETH_CLK,PB2
LED1,PA0
LED2,PA1
A_WIRE_SCL,PE2
A_WIRE_SDA,PE1
A_ESP_CK,PC5
A_ESP_MI,PC7
A_ESP_MO,PC6
A_ESP_SS,PC4
A_ESP_IO0,P15
