CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,IRQ_DS,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF24,AF35
P00,0,0,AN018,IRQ8,,,,,TMRI0,,,,,,,TXD6/SMOSI6/SSDA6,,,,,,,,,,,
P01,0,1,AN019,IRQ9,,,,,TMCI0,,,,,,,RXD6/SMISO6/SSCL6,,,,,,,,,,,
P02,0,2,AN020,IRQ10,,,,,TMCI1,,,,,,,SCK6,,,,,,,,,,,
P03,0,3,DA0,IRQ11,,,,,,,,,,,,,,,,,,,,,,,
P04,0,4,,,,,,,,,,,,,,,,,,,,,,,,,
P05,0,5,DA1,IRQ13,,,,,,,,,,,,,,,,,,,,,,,
P06,0,6,,,,,,,,,,,,,,,,,,,,,,,,,
P07,0,7,,IRQ15,,,,,,,,,,,ADTRG0#,,,,,,,,,,,,
P10,1,0,,IRQ0,,,MTIC5W,,,,TMRI3,,,,,,,,,,,,,,,,
P11,1,1,,IRQ1,,,MTIC5V,,,,TMCI3,,,,,SCK2,,,,,,,,,,,
P12,1,2,,IRQ2,,,MTIC5U,,,,TMCI1,,,,,RXD2/SMISO2/SSCL2,,,,,SCL0[FM+],,,,,,
P13,1,3,,IRQ3,,,MTIOC0B,,TIOCA5,,TMO3,PO13,,,ADTRG#,TXD2/SMOSI2/SSDA2,,,,,SDA0[FM+],,,,,,
P14,1,4,,IRQ4,,,MTIOC3A,MTCLKA,TIOCB5,TCLKA,TMRI2,PO15,,,,,CTS1#/RTS1#//SS1#,,,,,CTX1,USB0_DPUPE,USB0_OVRCURA,,,
P15,1,5,,IRQ5,,,MTIOC0B,MTCLKB,TIOCB2,TCLKB,TMCI2,PO13,,,,RXD1/SMISO1/SSCL1,SCK3,,,,,CRX1-DS,USB1_DPUPE,,,,
P16,1,6,,IRQ6,,,MTIOC3C,MTIOC3D,TIOCB1,TCLKC,TMO2,PO14,RTCOUT,,ADTRG0#,TXD1/SMOSI1/SSDA1,RXD3/SMISO3/SSCL3,,MOSIA,,SCL2-DS,IERXD,USB0_VBUS,USB0_VBUSEN,,,USB0_OVRCURB
P17,1,7,,IRQ7,,,MTIOC3A,MTIOC3B,TIOCB0,TCLKD,TMO1,PO15,POE8#,,ADTRG#,SCK1,TXD3/SMOSI3/SSDA3,,MISOA,,SDA2-DS,ETXD,USB1_VBUS,,,,
P20,2,0,,IRQ8,,,MTIOC1A,,TIOCB3,,TMRI0,PO0,,,,TXD0/SMOSI0/SSDA0,,,,,SDA1,,,,USB0_ID,,
P21,2,1,,IRQ9,,,MTIOC1B,,TIOCA3,,TMCI0,PO1,,,,RXD0/SMISO0/SSCL0,,,,,SCL1,,,,USB0_EXICEN,,
P22,2,2,,,,,MTIOC3B,MTCLKC,TIOCC3,,TMO0,PO2,,,,SCK0,,,,,,,,,USB0_DRPD,EDREQ0,
P23,2,3,,,,,MTIOC3D,MTCLKD,TIOCD3,,,PO3,,,,TXD3/SMOSI3/SSDA3,CTS0#/RTS0#//SS0#,,,,,,,,USB0_DPUPE,EDACK0,
P24,2,4,,,,,MTIOC4A,MTCLKA,TIOCB4,,TMRI1,PO4,,,,SCK3,,,,,,,,,USB0_VBUSEN,EDREQ1,
P25,2,5,,,,,MTIOC4C,MTCLKB,TIOCA4,,,PO5,,,ADTRG0#,RXD3/SMISO3/SSCL3,,,,,,,,,USB0_DPRPD,EDACK1,
P26,2,6,,,,,MTIOC2A,,,,TMO1,PO6,,,,TXD1/SMOSI1//SSDA1,CTS3#/RTS3#/SS3#,,MOSIB,,,,,,,,
P27,2,7,,,,,MTIOC2B,,,,TMCI3,PO7,,,,SCK1,,,RSPCKB,,,,,,,,
P30,3,0,,,IRQ0,,MTIOC4B,,,,TMRI3,PO8,POE8#,,,RXD1/SMISO1/SSCL1,,,MISOB,,,,,,USB0_DRPD,,
P31,3,1,,,IRQ1,,MTIOC4D,,,,TMCI2,PO9,,,,,CTS1#/RTS1#/SS1#,,SSLB0,,,,,,USB0_DPUPE,,
P32,3,2,,,IRQ2,,MTIOC0C,TIOCC0,,,TMO3,PO10,RTCOUT,,,TXD6/SMOSI6/SSDA6,TXD0/SMOSI0/SSDA0,,,,,,,,USB0_VBUSEN,,
P33,3,3,,,IRQ3,,MTIOC0D,TIOCD0,,,TMRI3,PO11,POE3#,,,RXD6/SMISO6/SSCL6,RXD0/SMISO0/SSCL0,,,,,,,,,,
P34,3,4,,IRQ4,,,MTIOC0A,,,,TMCI3,PO12,POE2#,,,SCK6,SCK0,,,,,,,,USB0_DPRPD,,
P35,3,5,,,,,,,,,,,,,,,,,,,,,,,,,
P36,3,6,,,,,,,,,,,,,,,,,,,,,,,,,
P37,3,7,,,,,,,,,,,,,,,,,,,,,,,,,
P40,4,0,AN000,,IRQ8,,,,,,,,,,,,,,,,,,,,,,
P41,4,1,AN001,,IRQ9,,,,,,,,,,,,,,,,,,,,,,
P42,4,2,AN002,,IRQ10,,,,,,,,,,,,,,,,,,,,,,
P43,4,3,AN003,,IRQ11,,,,,,,,,,,,,,,,,,,,,,
P44,4,4,AN004,,IRQ12,,,,,,,,,,,,,,,,,,,,,,
P45,4,5,AN005,,IRQ13,,,,,,,,,,,,,,,,,,,,,,
P46,4,6,AN006,,IRQ14,,,,,,,,,,,,,,,,,,,,,,
P47,4,7,AN007,,IRQ15,,,,,,,,,,,,,,,,,,,,,,
P50,5,0,,,,,,,,,,,,,,TXD2/SMOSI2/SSDA2,,,SSLB1,,,,,,,,
P51,5,1,,,,,,,,,,,,,,SCK2,,,SSLB2,,,,,,,,
P52,5,2,,,,,,,,,,,,,,RXD2/SMISO2/SSCL2,,,SSLB3,,,,,,,,
P53,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
P54,5,4,,,,,MTIOC4B,,,,,,,,,,CTS2#/RTS2#/SS2#,,,,,CRX1,ET_LINKSTA,,,EDACK0,
P55,5,5,,IRQ10,,,MTIOC4D,,,,,,,,,,,,,,,CTX1,ET_EXOUT,,,EDREQ0,
P56,5,6,,,,,MTIOC3C,,TIOCA1,,,,,,,,,,,,,,,,,EDACK1,
P57,5,7,,,,,,,,,,,,,,,,,,,,,,,,EDREQ1,
P60,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
P61,6,1,,,,,,,,,,,,,,,,,,,,,,,,,
P62,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
P63,6,3,,,,,,,,,,,,,,,,,,,,,,,,,
P64,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
P65,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
P66,6,6,,,,,,,,,,,,,,,,,,,,CTX2,,,,,
P67,6,7,,IRQ15,,,,,,,,,,,,,,,,,,CRX2,,,,,
P70,7,0,,,,,,,,,,,,,,,,,,,,,,,,,
P71,7,1,,,,,,,,,,,,,,,,,,,,,ET_MDIO,,,,
P72,7,2,,,,,,,,,,,,,,,,,,,,,ET_MDC,,,,
P73,7,3,,,,,,,,,,,,,,,,,,,,,ET_WOL,,,,
