PD3,PD3
PD2,PD2
P43,P43
P42,P42
P41,P41
P44,P44
P40,P40
P45,P45
P46,P46
P47,P47
PH5,PH5
P86,P86
P85,P85
PH6,PH6
P87,P87
P84,P84
P30,P30
PD5,PD5
PD4,PD4
P00,P00
P02,P02
PH0,PH0
P04,P04
P56,P56
P06,P06
P55,P55
P20,P20
P54,P54
PJ1,PJ1
P53,P53
P21,P21
P51,P51
P23,P23
P50,P50
P01,P01
P03,P03
P05,P05
P82,P82
P14,P14
P71,P71
P13,P13
P73,P73
P92,P92
P93,P93
P94,P94
P70,P70
P95,P95
P74,P74
P96,P96
P75,P75
P97,P97
P66,P66
P67,P67
P83,P83
P81,P81
P57,P57
PD6,PD6
PD7,PD7
SER0_TX,P42
SER0_RX,P41
SER4_TX,P46
SER4_RX,P45
USBTX,P90
USBRX,P91
SPI_SS,P84
SPI_MO,P86
SPI_MI,P85
SPI_CK,P87
WIRE_CL,PD2
WIRE_DA,PD3
SCL,PD2
SDA,PD3
I2C1_SCL,PD2
I2C1_SDA,PD3
I2C2_SCL,PD4
I2C2_SDA,PD5
A0,P50
A1,P51
A3,P53
A4,P54
A5,P55
A6,P56
LED1,P01
LED2,P03
LED3,P05
LED4,P82
SW0,PD6
SW1,PD7
SD1_CD,P64
CAM_GPIIO0,P66
CAM_GPIOD1,P67
BLCTRL,P83
CODEC_INT,P57
LCD_DISP,P81
