CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7
P00,0,0,,,,,,,,,,
P01,0,1,,,,,,,,,,
P02,0,2,,,,,,,,,,
P03,0,3,,,,,,,,,,
P04,0,4,,,,,,,,,,
P05,0,5,,,,,,,,,,
P06,0,6,,,,,,,,,,
P07,0,7,,,,,,,,,,
P10,1,0,,,,,,,,,,
P11,1,1,,,,,,,,,,
P12,1,2,,,,,,,,,,
P13,1,3,,,,,,,,,,
P14,1,4,,,,,,,,,,
P15,1,5,,,,,,,,,,
P16,1,6,,,,,,,,,,
P17,1,7,,,,,,,,,,
P20,2,0,,,,,,,,,,
P21,2,1,,,,,,,,,,
P22,2,2,,,,,,,,,,
P23,2,3,,,,,,,,,,
P24,2,4,,,,,,,,,,
P25,2,5,,,,,,,,,,
P26,2,6,,,,,,,,,,
P27,2,7,,,,,,,,,,
P30,3,0,,,,,,,,,,
P31,3,1,,,,,,,,,,
P32,3,2,,,,,,,,,,
P33,3,3,,,,,,,,,,
P34,3,4,,,,,,,,,,
P35,3,5,,,,,,,,,,
P36,3,6,,,,,,,,,,
P37,3,7,,,,,,,,,,
P40,4,0,,,,,,,,,,
P41,4,1,,,,,,,,,,
P42,4,2,,,,,,,,,,
P43,4,3,,,,,,,,,,
P44,4,4,,,,,,,,,,
P45,4,5,,,,,,,,,,
P46,4,6,,,,,,,,,,
P47,4,7,,,,,,,,,,
P50,5,0,AN000,,,,,,,,,
P51,5,1,AN001,,,,,,,,,
P52,5,2,AN002,,,,,,,,,
P53,5,3,AN003,,,,,,,,,
P54,5,4,AN004,,,,,,,,,
P55,5,5,AN005,,,,,,,,,
P56,5,6,AN006,,,,,,,,,
P57,5,7,AN007,,,,,,,,,
P60,6,0,,,,,,,,,,
P61,6,1,,,,,,,,,,
P62,6,2,,,,,,,,,,
P63,6,3,,,,,,,,,,
P64,6,4,,,,,,,,,,
P65,6,5,,,,,,,,,,
P66,6,6,,,,,,,,,,
P67,6,7,,,,,,,,,,
P70,7,0,,,,,,,,,,
P71,7,1,,,,,,,,,,
P72,7,2,,,,,,,,,,
P73,7,3,,,,,,,,,,
P74,7,4,,,,,,,,,,
P75,7,5,,,,,,,,,,
P76,7,6,,,,,,,,,,
P77,7,7,,,,,,,,,,
P80,8,0,,,,,,,,,,
P81,8,1,,,,,,,,,,
P82,8,2,,,,,,,,,,
P83,8,3,,,,,,,,,,
P84,8,4,,,,,,,,,,
P85,8,5,,,,,,,,,,
P86,8,6,,,,,,,,,,
P87,8,7,,,,,,,,,,
P90,9,0,,,,,,,,,,
P91,9,1,,,,,,,,,,
P92,9,2,,,,,,,,,,
P93,9,3,,,,,,,,,,
P94,9,4,,,,,,,,,,
P95,9,5,,,,,,,,,,
P96,9,6,,,,,,,,,,
P97,9,7,,,,,,,,,,
PA0,10,0,,,,,,,,,,
PA1,10,1,,,,,,,,,,
PA2,10,2,,,,,,,,,,
PA3,10,3,,,,,,,,,,
PA4,10,4,,,,,,,,,,
PA5,10,5,,,,,,,,,,
PA6,10,6,,,,,,,,,,
PA7,10,7,,,,,,,,,,
PB0,11,0,,,,,,,,,,
PB1,11,1,,,,,,,,,,
PB2,11,2,,,,,,,,,,
PB3,11,3,,,,,,,,,,
PB4,11,4,,,,,,,,,,
PB5,11,5,,,,,,,,,,
PB6,11,6,,,,,,,,,,
PB7,11,7,,,,,,,,,,
PC0,12,0,,,,,,,,,,
PC1,12,1,,,,,,,,,,
PC2,12,2,,,,,,,,,,
PC3,12,3,,,,,,,,,,
PC4,12,4,,,,,,,,,,
PC5,12,5,,,,,,,,,,
PC6,12,6,,,,,,,,,,
PC7,12,7,,,,,,,,,,
PD0,13,0,,,,,,,,,,
PD1,13,1,,,,,,,,,,
PD2,13,2,,,,,,,,,,
PD3,13,3,,,,,,,,,,
PD4,13,4,,,,,,,,,,
PD5,13,5,,,,,,,,,,
PD6,13,6,,,,,,,,,,
PD7,13,7,,,,,,,,,,
PE0,14,0,,,,,,,,,,
PE1,14,1,,,,,,,,,,
PE2,14,2,,,,,,,,,,
PE3,14,3,,,,,,,,,,
PE4,14,4,,,,,,,,,,
PE5,14,5,,,,,,,,,,
PE6,14,6,,,,,,,,,,
PE7,14,7,,,,,,,,,,
PF0,15,0,,,,,,,,,,
PF1,15,1,,,,,,,,,,
PF2,15,2,,,,,,,,,,
PF3,15,3,,,,,,,,,,
PF4,15,4,,,,,,,,,,
PF5,15,5,,,,,,,,,,
PF6,15,6,,,,,,,,,,
PF7,15,7,,,,,,,,,,
PG0,16,0,,,,,,,,,,
PG1,16,1,,,,,,,,,,
PG2,16,2,,,,,,,,,,
PG3,16,3,,,,,,,,,,
PG4,16,4,,,,,,,,,,
PG5,16,5,,,,,,,,,,
PG6,16,6,,,,,,,,,,
PG7,16,7,,,,,,,,,,
PH0,17,0,,,,,,,,,,
PH1,17,1,,,,,,,,,,
PH2,17,2,,,,,,,,,,
PH3,17,3,,,,,,,,,,
PH4,17,4,,,,,,,,,,
PH5,17,5,,,,,,,,,,
PH6,17,6,,,,,,,,,,
PH7,17,7,,,,,,,,,,
PJ0,18,0,,,,,,,,,,
PJ1,18,1,,,,,,,,,,
PJ2,18,2,,,,,,,,,,
PJ3,18,3,,,,,,,,,,
PJ4,18,4,,,,,,,,,,
PJ5,18,5,,,,,,,,,,
PJ6,18,6,,,,,,,,,,
PJ7,18,7,,,,,,,,,,
PK0,19,0,,,,,,,,,,
PK1,19,1,,,,,,,,,,
PK2,19,2,,,,,,,,,,
PK3,19,3,,,,,,,,,,
PK4,19,4,,,,,,,,,,
PK5,19,5,,,,,,,,,,
PK6,19,6,,,,,,,,,,
PK7,19,7,,,,,,,,,,
PL0,20,0,,,,,,,,,,
PL1,20,1,,,,,,,,,,
PL2,20,2,,,,,,,,,,
PL3,20,3,,,,,,,,,,
PL4,20,4,,,,,,,,,,
PL5,20,5,,,,,,,,,,
PL6,20,6,,,,,,,,,,
PL7,20,7,,,,,,,,,,
PM0,21,0,,,,,,,,,,
PM1,21,1,,,,,,,,,,
PM2,21,2,,,,,,,,,,
PM3,21,3,,,,,,,,,,
PM4,21,4,,,,,,,,,,
PM5,21,5,,,,,,,,,,
PM6,21,6,,,,,,,,,,
PM7,21,7,,,,,,,,,,
